code,GINI index,happy planet index,human development index,world happiness report score,sustainable economic development assessment (SEDA),GDP (billions PPP),GDP per capita (PPP),GDP growth (annual %),health expenditure % of GDP,health expenditure per person,education expenditure % of GDP,education expenditure per person ,school life expectancy (YEARS),unemployment (%),government spending score,government expenditure (% of GDP),political rights score ,civil liberties score ,political stability & absence of violence,government effectiveness,regulatory quality,rule of law,control of corruption,judicial effectiveness score,government integrity score,property rights score,tax burden score,overall economic freedom score,financial freedom score,women MPs (% of all MPs),Social Progress Index,Basic Human Needs,Foundations of Wellbeing,Opportunity,Nutrition and Basic Medical Care,Water and Sanitation,Shelter,Personal Safety,Access to Basic Knowledge,Access to Information and communications,Health and Wellness,Environmental Quality,Personal Rights,Personal Freedom and Choice,Inclusiveness,Access to Advanced Education,Undernourishment (% of pop.),"Maternal mortality rate (deaths/100,000 live births)","Child mortality rate (deaths/1,000 live births)",Child stunting (% of children),"Deaths from infectious diseases (deaths/100,000)",Access to at least basic drinking water (% of pop.),Access to piped water (% of pop.),Access to at least basic sanitation facilities (% of pop.),Rural open defecation (% of pop.),Access to electricity (% of pop.),Quality of electricity supply (1=low; 7=high),"Household air pollution attributable deaths (deaths/100,000)","Homicide rate (deaths/100,000)",Political killings and torture (0=low freedom; 1=high freedom),Perceived criminality (1=low; 5=high),"Traffic deaths (deaths/100,000)",Adult literacy rate (% of pop. aged 15+),Primary school enrollment (% of children),Secondary school enrollment (% of children),Gender parity in secondary enrollment (girls/boys),Access to quality education (0=unequal; 4=equal),Mobile telephone subscriptions (subscriptions/100 people),Internet users (% of pop.),Participation in online governance (0=low; 1=high),Access to independent media (% of pop.),Life expectancy at 60 (years),"Premature deaths from non-communicable diseases (deaths/100,000)",Access to essential services  (0=none; 100=full coverage),Access to quality healthcare (0=unequal; 4=equal),"Outdoor air pollution attributable deaths (deaths/100,000)",Wastewater treatment (0=no treatment; 100=fully treated),Greenhouse gas emissions (CO2 equivalents per GDP),Biome protection (% of biomes),Political rights (0=no rights; 40=full rights),Freedom of expression (0=no freedom; 1=full freedom),Freedom of religion (0=no freedom; 4=full freedom),Access to justice (0=non-existent; 1=observed),Property rights for women (0=no right; 5=full rights),Vulnerable employment (% of employees),Early marriage (% of women),Satisfied demand for contraception (% of women),Corruption (0=high; 100=low),Acceptance of gays and lesbians (0=low; 100=high),Discrimination and violence against minorities (0=low; 10=high),Equality of political power by gender (0=unequal power; 4=equal power),Equality of political power by socioeconomic position (0=unequal power; 4=equal power),Equality of political power by social group (0=unequal power; 4=equal power),Years of tertiary schooling,Women's average years in school,Globally ranked universities (points),Percent of tertiary students enrolled in globally ranked universities
SGP,45.9,,0.932,6.38,81.8,492.6,87855.0,2.0,4.3,3681.0,,,13.0,1.8,90.6,17.7,4.0,4.0,1.59,2.2,2.1,1.82,2.13,90.9,91.2,98.4,90.4,88.8,80.0,23.0,85.42,98.14,90.1,68.01,97.6,100.0,99.22,95.75,98.25,90.23,87.58,84.36,70.88,87.91,53.78,59.45,,5.579,2.8,2.991,47.3248,100.0,100.0,100.0,,100.0,6.85355,0.020773,0.25,0.936466,1.0,3.82985,97.0496,99.9421,108.13,0.99139,3.7377199999999995,150.481,81.0,0.91525,,25.8653,205.294,81.74600000000001,3.53027,27.0983,100.0,119.25,4.5143699999999995,19.0,0.40844,3.3254599999999996,0.851669,4.52471,8.4,0.0,76.9,84.0,34.0845985412598,2.3,2.20566,2.24538,1.5258399999999999,1.73,13.83,5,30.0
SHN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.95,97.9,99.8875,,,,,,,,,,,,,,61.9331,,,,,,,,,,,13.2219,,,,,,,,,,,,,,,,,0,0.0
SLB,,,0.546,,,1.2,1973.0,3.3,8.0,173.0,,,,31.4,35.6,46.3,3.0,2.0,0.21,-1.0,-0.8,-0.21,0.11,57.3,36.8,49.4,65.5,57.5,30.0,2.0,48.19,56.08,43.91,44.58,81.06,44.7,30.16,68.42,64.09,38.37,18.43,54.75,77.45,44.41,41.28,15.18,13.9,193.271,25.8,21.461,168.13299999999998,64.0341,47.3904,31.267,50.2717,47.9191,,212.79,3.77,0.9088579999999999,,23.0246,,81.6435,48.2869,0.9485899999999999,1.54368,69.49600000000001,11.0009,0.22034,46.25,14.2894,1164.66,40.515,1.06021,53.5108,0.0,490.62199999999996,1.7094200000000002,28.0,0.8367530000000001,3.21012,0.802898,3.6347199999999997,67.0,,46.2,39.0,,6.2,0.89549,2.19652,3.17072,,7.85,0,0.0
SLE,34.0,15.3,0.419,4.09,32.9,10.8,1672.0,-21.5,18.3,256.0,2.7,19.0,,3.0,89.8,18.4,3.0,3.0,0.03,-1.2,-0.9,-0.79,-0.59,29.6,22.0,33.6,79.9,51.8,20.0,12.4,44.8,47.63,47.07,39.7,47.78,40.55,28.02,74.16,59.42,42.15,38.09,48.61,75.96,31.25,46.69,4.92,30.9,511.397,113.5,36.42,611.351,58.0914,27.5926,14.5359,27.1315,20.3,2.57563,195.41400000000002,1.92,0.791254,2.0,21.1581,32.4262,99.6991,40.4991,0.90948,1.30944,84.8987,11.7732,0.11864000000000001,53.5556,16.0649,541.6659999999999,44.641999999999996,1.10544,108.72,0.0,561.929,9.43977,28.0,0.876657,3.86545,0.545137,3.4922699999999995,88.9,31.0,39.1,30.0,13.130499839782699,6.5,2.28768,2.03715,2.53825,0.09,2.58,0,0.0
SLV,36.0,35.6,0.674,6.34,47.2,54.8,8909.0,2.4,10.3,578.0,3.4,124.0,13.0,6.3,86.3,21.3,2.0,3.0,-0.25,-0.4,-0.2,-0.86,-0.51,35.4,25.2,37.3,78.9,63.2,60.0,32.1,64.97,74.53,72.06,48.34,90.07,91.24,86.34,30.47,77.07,73.0,61.71,76.45,76.29,60.59,40.44,16.03,12.3,37.905,15.0,13.282,51.7103,93.0131,87.6091,91.1251,4.6755,98.6189,4.82423,13.3009,108.64,0.67933,5.0,26.9536,87.9698,89.96,74.2923,0.9987299999999999,0.921508,151.894,28.9971,0.5593199999999999,100.0,22.6739,255.582,63.227,0.704649,37.6024,50.5,244.19,10.7862,34.0,0.877383,3.85299,0.265592,4.19524,38.4,17.0,81.9,33.0,43.690700531005895,6.4,1.26084,1.22155,2.50058,0.21,9.21,0,0.0
SML,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.69,,,,,,,,,,,,,,,,,0.725595,,,,,,,1.3192,,,,51.6667,,,,0.373118,,,,,19.0,0.6547470000000001,2.3380099999999997,0.6592439999999999,4.04493,,,,,,,1.13265,1.32914,2.3399099999999997,,,0,0.0
SMR,,,,,,,,,5.3,3675.0,,,15.0,,,,1.0,1.0,0.94,,,,,,,,,,,26.7,,,,,,,,,,,,,,,,,,,2.8,,,100.0,100.0,100.0,,100.0,,,,,,,,93.1239,94.652,1.02614,,110.141,,0.13559000000000002,,,,,,,,,0.0,38.0,,,,,,,,,,,,,,,,0,0.0
SOM,,,,,,5.9,,3.7,,,,,,6.6,,,7.0,7.0,-2.33,-2.2,-2.3,-2.31,-1.72,25.4,17.8,33.1,,,,24.4,,32.57,,27.07,41.05,25.42,23.98,39.82,,31.56,22.67,43.5,33.8,43.84,27.84,2.82,,823.567,132.5,29.98,684.437,40.0024,29.6613,16.1914,60.3505,29.8903,,212.577,5.56,0.346454,5.0,26.4386,,,,,0.289761,46.4663,1.88,0.0339,67.5,14.1466,669.913,27.183000000000003,0.555797,88.4663,3.96,,0.0,1.0,0.484512,0.7010069999999999,0.44978500000000005,2.4517900000000004,35.0,22.0,48.3,9.0,,9.0,1.1901,1.38984,1.9059,,1.98,0,0.0
SPM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.4,90.5,99.3408,,,,,15.94,,,,,,,,,,,,,,,,,,,,0.00018899999999999999,,,,,,,,,,,,,,,,,0,0.0
SRB,38.7,29.0,0.787,5.12,54.9,101.8,14493.0,0.7,9.4,1324.0,4.2,259.0,15.0,16.5,40.6,44.5,3.0,2.0,0.1,0.2,0.0,-0.19,-0.37,48.2,36.5,46.2,83.5,62.5,50.0,34.4,73.11,86.17,77.69,55.46,95.09,94.24,85.62,69.73,93.03,85.53,62.46,69.72,78.63,59.39,42.03,41.79,5.6,17.49,5.8,10.399000000000001,12.2842,91.1825,94.7966,94.6429,0.1625,100.0,4.9660400000000005,28.3455,1.13,0.8765069999999999,4.0,11.3667,98.8415,99.1686,96.2347,1.0131700000000001,2.524,130.235,67.0568,0.8305100000000001,89.75,20.3084,439.414,65.21,2.68126,41.786,60.49,549.889,7.33075,28.0,0.588683,3.7775,0.697354,4.75095,26.8,5.0,36.2,41.0,15.128999710083,7.3,1.6996200000000001,2.58261,1.9387299999999998,0.54,13.0,2,40.0
SSD,46.0,,0.38799999999999996,2.82,,,,,2.5,71.0,1.7,22.0,,,,,7.0,7.0,-2.46,-2.5,-1.9,-1.94,-1.71,,,,,,,28.5,,34.17,,,56.41,20.29,26.36,33.6,8.25,17.23,32.22,,21.47,,15.37,1.7,,367.87,90.7,31.988000000000003,693.523,50.4112,7.42183,10.3501,69.9607,8.94763,,165.25,13.7,0.096481,5.0,18.9112,26.8313,34.3398,9.88386,0.53695,0.23205399999999998,22.0755,,0.10169,33.6667,16.0048,456.723,35.717,0.08541900000000001,90.9392,,,14.0767,-2.0,0.15340299999999998,2.36357,0.148838,0.716367,,,15.3,12.0,7.00540018081665,9.7,1.06352,1.1468,0.06337999999999999,,1.19,0,0.0
STP,30.8,,0.589,,,0.6,3072.0,4.0,4.4,308.0,3.7,68.0,13.0,13.6,69.5,31.9,2.0,2.0,0.22,-0.8,-0.8,-0.68,0.14,28.2,39.4,38.0,82.0,53.6,30.0,18.2,61.81,68.25,62.88,54.3,83.23,58.81,57.45,73.54,82.22,43.48,53.63,72.2,88.75,59.5,57.39,11.55,13.5,109.323,33.8,15.987,184.113,79.6971,90.5496,40.1028,62.7903,65.4405,,108.20700000000001,3.44,0.954937,,15.904000000000002,90.1431,96.9959,89.7067,1.15,2.09713,89.0636,28.0,0.0678,44.7667,18.4524,408.029,55.54,2.05626,52.9356,26.32,343.921,17.0,34.0,0.8923690000000001,3.7898,0.8141550000000001,4.59171,35.0,,53.8,46.0,,4.2,2.5198400000000003,2.0928299999999997,2.51647,,6.35,0,0.0
SUR,,25.4,0.72,,52.7,7.9,13988.0,0.1,6.5,1017.0,,,,10.0,76.4,28.1,2.0,2.0,0.14,-0.6,-0.5,-0.15,-0.17,21.4,39.9,39.7,71.4,48.1,30.0,25.5,67.01,76.92,65.1,59.02,91.21,80.75,75.28,60.43,73.98,66.28,57.5,62.64,87.59,71.2,56.56,20.72,7.9,61.184,20.0,8.411,79.4993,94.6809,67.1012,79.2192,18.0684,87.1763,3.4460599999999997,15.624,10.68,0.854057,,22.826999999999998,92.8687,94.8122,78.5296,1.31708,2.21611,144.507,45.4,0.33898,80.0,19.4894,444.11199999999997,56.373000000000005,2.67236,45.7465,7.53,407.398,7.2214100000000006,34.0,0.803782,3.8147800000000003,0.850405,4.54018,11.4,,72.1,41.0,36.1427993774414,5.5,2.50717,2.5183400000000002,2.5646400000000003,,10.14,0,0.0
SVK,23.7,28.2,0.855,6.37,67.4,170.1,31339.0,3.6,6.9,2062.0,4.2,788.0,15.0,10.0,44.3,43.1,1.0,1.0,0.88,0.8,0.8,0.57,0.22,38.8,38.2,68.2,78.9,65.3,70.0,20.0,80.34,93.58,82.07,65.36,96.77,98.63,94.3,84.63,90.38,83.82,68.82,85.26,89.49,76.83,55.18,39.97,3.1,7.059,5.9,7.028,25.7088,97.9256,98.4773,98.9282,0.0,100.0,5.994330000000001,2.7955,0.88,0.924227,2.0,9.27213,,,90.9674,1.0107,2.37798,128.391,80.4759,0.54237,96.8333,20.9068,379.412,70.369,3.1293900000000003,46.8476,89.95,258.233,17.0,36.0,0.9435389999999999,3.03684,0.900474,4.8265199999999995,12.2,1.0,75.1,50.0,36.253200531005895,6.6,2.37575,2.44752,2.96822,0.63,13.98,3,20.0
SVN,24.4,24.6,0.8959999999999999,6.17,72.6,66.2,32085.0,2.9,8.5,2734.0,5.3,1281.0,17.0,8.7,31.2,47.9,1.0,1.0,0.89,1.2,0.6,1.02,0.81,57.7,52.1,76.6,58.7,64.8,50.0,36.7,85.5,94.69,88.42,73.38,97.55,99.38,96.44,85.39,98.88,85.27,80.38,89.16,95.59,81.1,64.26,52.58,2.5,6.065,2.3,7.063,15.561,99.5233,98.9663,99.1073,0.0,100.0,6.39974,2.91547,1.21,0.957349,2.0,7.02907,,99.2896,109.77,1.0028700000000002,3.79759,114.818,75.4985,0.7288100000000001,90.3,23.6021,236.265,80.49600000000001,3.03956,22.0413,88.5,284.72900000000004,17.0,39.0,0.9098360000000001,3.8677099999999998,0.975101,4.77651,10.5,1.0,78.6,61.0,49.3199996948242,4.5,2.34997,2.74158,3.3118800000000004,0.79,14.19,2,60.0
SWE,24.9,28.0,0.9329999999999999,7.29,81.9,498.1,49836.0,4.1,11.0,5299.0,7.7,4546.0,18.0,7.1,23.2,50.6,1.0,1.0,0.98,1.8,1.8,1.94,2.14,88.2,92.9,92.6,43.9,76.3,80.0,43.6,88.99,95.86,89.9,81.2,98.99,99.84,97.56,87.06,92.09,87.96,86.5,93.06,95.98,88.66,81.26,58.88,2.5,3.639,2.9,1.216,18.1557,100.0,100.0,99.3035,0.0,100.0,6.559589999999999,0.764862,1.15,0.967201,2.0,4.08633,,99.9934,140.437,1.14034,3.2558700000000003,127.50299999999999,89.6509,0.76271,85.0,24.3055,194.08900000000003,83.32799999999999,3.7016400000000003,6.8011,98.49,118.792,12.0528,40.0,0.969361,3.71959,0.9695389999999999,4.7063,6.4,1.0,80.0,84.0,78.8619003295898,1.8,3.33145,3.08078,3.07832,0.94,15.12,23,40.0
SWZ,50.4,15.5,0.588,,,11.1,9776.0,1.7,7.0,,,,11.0,25.3,65.2,34.1,7.0,6.0,-0.3,-0.6,-0.6,-0.29,-0.3,35.3,26.9,55.3,74.8,55.9,40.0,6.2,51.21,60.54,54.25,38.84,67.4,64.65,62.78,47.34,71.19,37.89,41.31,66.59,35.77,70.81,33.42,15.36,19.6,75.259,70.4,25.587,709.1460000000001,67.6261,57.1196,58.0258,13.7118,65.7902,3.74,76.6083,8.16,0.522758,3.0,40.9084,83.0983,76.2815,67.0429,0.99369,1.56176,74.0825,28.5735,0.25424,21.8,15.8933,629.034,51.2,1.8254,74.3387,64.23,283.246,4.03811,1.0,0.41606400000000004,1.97183,0.5949770000000001,1.15425,19.2,7.0,80.5,39.0,17.979700088501,3.1,1.02936,1.61966,0.42862100000000003,0.08,10.0,0,0.0
SYC,,,0.797,,59.1,2.6,27602.0,4.4,3.4,867.0,,,14.0,,63.0,35.1,3.0,3.0,0.68,0.4,-0.2,0.1,0.68,38.8,38.8,60.7,73.4,61.6,30.0,21.2,,87.66,73.41,,92.64,97.37,89.06,71.56,92.79,63.2,62.67,74.98,75.82,,45.14,24.26,,29.813000000000002,14.3,9.042,98.0724,96.2509,94.5082,100.0,,100.0,4.97872,1.47397,2.15,0.841369,,17.2474,93.9542,99.7609,93.0201,1.06901,3.4511300000000005,161.159,56.5147,0.40678000000000003,53.0,19.7271,427.583,59.716,3.3936,35.08,26.32,243.96900000000002,13.7504,28.0,0.7218859999999999,3.20565,0.838132,3.6316900000000003,,,,60.0,,4.2,1.5598100000000001,1.95878,1.9216799999999998,,11.6,0,0.0
SYR,,19.1,0.536,,,21.0,,-4.8,,,,,9.0,14.3,,,7.0,7.0,-2.63,-1.8,-1.8,-2.09,-1.56,22.1,23.1,36.7,,,,13.2,,,,,,,,,,,,,,,,,,14.620999999999999,17.5,23.072,21.1531,96.7449,85.9213,92.9472,1.43333,100.0,,0.16642300000000002,2.23,0.02967,5.0,14.6831,,67.3672,49.3069,1.00078,0.655855,72.4337,31.8696,0.45763000000000004,58.2857,20.2412,388.151,67.821,0.697872,75.9444,83.33,,0.704342,-3.0,0.091126,1.57297,0.053233,3.05578,32.2,11.0,60.0,14.0,36.057098388671896,9.9,0.601019,0.626466,0.462747,0.18,8.39,0,0.0
TCA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94.3182,67.9546,87.9886,,95.7004,,,6.61,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,0,0.0
TCD,43.3,12.8,0.40399999999999997,4.56,20.4,29.0,2445.0,1.8,4.6,100.0,,,7.0,5.8,90.5,17.7,7.0,6.0,-1.34,-1.5,-1.2,-1.3,-1.43,24.1,23.1,25.1,44.8,49.3,40.0,12.8,28.2,30.76,32.45,21.39,45.63,16.28,25.11,36.01,27.03,26.41,37.29,39.05,47.71,16.37,19.17,2.32,32.5,526.635,127.3,36.145,592.969,42.5376,18.9101,9.54839,82.3647,8.8309,2.24856,177.274,9.02,0.140924,5.0,20.3609,22.3116,78.9185,22.6831,0.46151000000000003,0.8691639999999999,43.1136,5.0,0.15254,38.5714,17.0438,438.735,37.36,0.60756,130.231,0.0,974.706,11.5753,4.0,0.380067,2.35124,0.307152,4.37259,91.5,45.0,19.7,20.0,9.74429988861084,7.7,1.16016,0.705601,0.395146,,1.63,0,0.0
TGO,46.0,13.2,0.503,4.36,34.9,11.6,1550.0,5.3,6.6,96.0,4.9,30.0,12.0,6.8,73.3,29.8,4.0,4.0,-0.74,-1.1,-0.8,-0.71,-0.71,28.2,31.4,32.7,64.3,47.8,30.0,17.6,47.78,48.51,51.49,43.35,69.77,28.24,38.96,57.08,70.26,44.67,44.44,46.58,69.22,43.29,53.13,7.77,11.5,269.784,75.7,19.557000000000002,499.509,62.8176,24.3987,13.9485,74.7197,46.9284,,167.8,9.14,0.617653,3.0,22.1085,63.7456,86.6822,55.071000000000005,,3.03303,72.3791,11.31,0.38983,51.8,16.5522,534.798,45.832,2.2523400000000002,130.782,0.0,735.6,16.7392,18.0,0.784012,3.82366,0.342002,4.233169999999999,64.6,16.0,35.5,32.0,12.555700302124,4.9,2.39112,2.20275,2.96968,0.13,4.19,0,0.0
THA,44.5,37.3,0.755,5.94,52.4,1164.9,16888.0,2.8,3.1,610.0,,,16.0,0.6,85.5,22.0,6.0,5.0,-0.76,0.4,0.1,0.04,-0.39,45.3,34.7,48.6,81.3,67.1,60.0,4.8,67.35,80.32,75.8,45.91,91.11,90.58,88.88,50.73,86.8,65.05,70.02,81.34,39.99,63.76,41.58,38.33,9.5,27.851999999999997,12.2,13.036,83.6803,98.2311,66.6522,95.0113,0.45826000000000006,100.0,5.18193,11.5258,3.51,0.191965,3.0,27.2994,92.8683,94.6944,120.632,0.96055,1.7405700000000002,173.77700000000002,47.505,0.59322,51.4286,23.2767,282.057,68.675,2.06707,33.586999999999996,77.05,352.69599999999997,13.1631,6.0,0.12604400000000002,3.02172,0.224671,3.21596,51.4,11.0,90.0,37.0,32.710300445556605,8.2,2.5514900000000003,1.87425,1.24328,0.54,10.09,13,20.0
TJK,32.6,34.2,0.65,5.83,41.3,26.0,3008.0,3.0,6.1,193.0,,,11.0,10.8,71.4,30.9,7.0,6.0,-0.67,-1.1,-1.1,-1.35,-1.33,50.3,38.2,46.8,91.8,58.3,30.0,19.0,53.09,73.58,57.64,28.04,76.75,80.38,74.17,63.03,81.94,40.63,49.44,58.56,28.91,51.62,11.24,20.38,30.1,34.912,43.1,28.413,82.0646,74.1397,60.3262,95.4921,0.09028,100.0,3.68365,65.2154,1.44,0.219663,3.0,8.74427,,98.8896,87.4407,0.89897,0.8715700000000001,107.61399999999999,20.47,0.20339000000000002,18.3333,19.5097,469.25199999999995,56.544,0.900698,112.64399999999999,58.85,561.409,10.8773,1.0,0.156593,1.0801399999999999,0.33084,2.8710000000000004,43.3,13.0,56.3,21.0,1.11989998817444,7.1,0.46334,0.132797,0.42686999999999997,0.26,11.78,0,0.0
TKL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96.88,,,,,,,,,,,,,,,,99.5288,94.1,93.0665,0.0,,,,,,,,,94.5957,70.1492,1.01579,,,,,,,,,,,,,7.75652,,,,,,,,,,,,,,,,,0,0.0
TKM,40.8,14.6,0.706,5.23,,95.5,17485.0,6.5,6.3,1004.0,,,11.0,8.6,92.2,16.1,7.0,7.0,-0.15,-1.2,-2.0,-1.49,-1.48,5.0,27.3,29.8,95.9,47.1,10.0,25.8,,82.06,,33.49,89.25,87.16,91.22,60.6,,35.87,48.26,42.83,22.61,62.37,18.9,30.09,5.5,10.880999999999998,51.0,10.68,48.8736,94.4546,55.6222,96.5671,0.09892000000000001,100.0,,0.692195,4.2,0.306358,3.0,8.57911,,,85.8197,0.9589,2.4100599999999996,151.434,17.9903,0.0678,14.652000000000001,18.8671,600.335,56.342,1.63228,99.7485,74.79,1467.8,3.20309,0.0,0.050754,1.4127299999999998,0.29541799999999996,1.8392400000000002,29.3,5.0,73.8,19.0,,6.3,0.608594,0.42130100000000004,0.607494,,14.01,0,0.0
TLS,31.9,,0.625,,,5.0,4187.0,4.3,3.1,141.0,,,13.0,4.0,30.9,48.0,2.0,3.0,0.03,-1.0,-0.7,-1.17,-0.54,13.8,32.0,29.9,97.4,48.1,20.0,32.3,55.11,60.0,59.44,45.9,66.54,53.64,55.2,64.6,65.49,53.76,49.04,69.46,73.54,51.57,45.54,12.93,26.9,270.79900000000004,49.7,46.108000000000004,133.586,70.2233,41.7627,44.0111,32.6261,63.3941,3.04513,101.801,3.69,0.897758,4.0,13.868,58.309,82.3599,74.3181,1.07479,1.20504,117.613,25.2463,0.27119,57.0,20.0438,388.93800000000005,46.401,1.05746,44.5192,37.28,,13.467,32.0,0.755079,3.4905,0.502504,3.7210900000000002,65.2,8.0,47.2,38.0,,6.2,1.7816299999999998,1.86946,2.76187,,6.92,0,0.0
TON,,,0.726,,,0.6,5387.0,2.6,5.9,324.0,,,,4.9,68.7,32.3,2.0,2.0,0.79,-0.2,-0.4,0.31,-0.16,25.4,40.5,62.1,85.4,63.1,20.0,3.8,,,,,,97.13,,,,,,81.06,,,,20.26,,146.749,16.4,7.751,91.8633,99.9059,94.1598,93.4676,0.0,97.02,,48.4566,0.95,,,16.6216,99.3855,98.6921,90.1102,1.0908799999999998,,74.6812,39.95,0.35593,,18.0248,610.127,54.0,,7.66732,58.45,626.18,17.0,30.0,,,,,57.0,,50.1,,,,,,,0.21,12.18,0,0.0
TTO,,15.7,0.784,6.19,58.7,43.6,31870.0,-1.8,6.0,2204.0,,,,3.9,54.4,39.0,2.0,2.0,0.29,0.3,0.0,-0.11,-0.36,49.8,33.1,54.9,83.5,57.7,50.0,31.0,,82.53,,59.71,94.47,94.28,89.22,52.16,,79.25,62.28,78.36,89.18,69.45,55.89,24.32,4.8,68.00399999999999,18.5,1.459,49.0873,96.9406,92.1413,92.1465,,100.0,4.98546,0.48940600000000006,30.88,0.900439,4.0,17.695,,98.7335,,,3.36686,158.675,73.2969,0.44068,95.0,20.2046,468.92400000000004,58.882,3.41655,35.6555,70.83,593.974,16.854,33.0,0.8725799999999999,3.8169999999999997,0.940976,4.29981,16.6,3.0,63.3,41.0,28.8815002441406,3.9,2.5207599999999997,2.2214,2.38564,0.39,13.28,0,0.0
TUN,40.0,26.2,0.735,4.12,49.3,130.6,11634.0,0.8,6.7,774.0,,,15.0,14.8,75.5,28.6,2.0,3.0,-1.05,-0.1,-0.4,0.07,-0.11,41.7,36.8,49.4,73.0,58.9,30.0,31.3,73.07,85.5,74.5,59.2,94.27,92.53,89.83,65.37,83.38,73.2,66.36,75.06,85.31,72.16,49.01,30.31,5.0,29.928,13.6,8.396,33.6856,94.2302,86.8206,93.1278,2.69582,100.0,5.09783,0.396046,3.05,0.8281879999999999,3.0,24.6177,79.0364,99.7608,92.8699,1.11114,2.24979,125.24600000000001,49.6,0.69492,71.0,21.7235,313.95,66.523,2.20669,51.8421,88.17,318.551,5.4412199999999995,30.0,0.83011,2.91205,0.9646520000000001,4.825480000000001,20.9,2.0,74.7,42.0,4.19350004196167,7.4,2.2295700000000003,2.64684,3.05137,0.52,9.1,2,20.0
TUR,40.2,26.4,0.7909999999999999,5.61,53.3,1988.3,24912.0,3.8,4.1,996.0,4.4,530.0,16.0,10.3,68.1,32.6,5.0,6.0,-1.8,0.1,0.0,-0.25,-0.19,54.5,42.0,54.7,74.7,65.4,60.0,14.6,66.81,83.65,73.61,43.18,95.48,98.14,86.04,54.93,85.03,65.03,68.99,75.37,43.07,63.03,24.33,42.28,2.5,15.527999999999999,12.7,9.551,14.9362,98.8994,98.8994,96.3727,1.24934,100.0,4.402480000000001,1.1577,4.3,0.402866,4.0,11.6289,95.6014,94.9729,103.05,0.97383,0.911781,94.4025,58.3477,0.62712,44.4,23.4089,276.83099999999996,67.559,1.8434099999999998,40.6993,92.21,250.03900000000002,0.230238,16.0,0.172796,2.18463,0.371121,3.0961,27.6,10.0,61.6,40.0,22.956600189209,10.0,0.394253,2.5975200000000003,0.72088,0.36,8.76,26,40.0
TUV,,,,,,,,,15.0,523.0,,,,,,,1.0,1.0,1.27,-0.7,-0.8,0.56,0.06,,,,,,,6.7,,,,,,95.06,,,,,,,,,,,,,25.3,,,99.2577,99.2577,91.4104,8.955219999999999,99.4262,,,20.28,,,,,99.5974,95.9791,1.2728899999999999,,68.487,46.0092,0.0,,,,,,,,504.44199999999995,1.51603,37.0,,,,,,,,,,,,,,,,0,0.0
TWN,33.6,,,6.36,,1132.1,48095.0,0.7,6.9,,,,,4.0,90.4,17.8,1.0,1.0,0.89,1.27,1.37,1.14,0.96,69.2,70.9,84.3,76.1,76.6,60.0,,,,,,96.07,,93.2,82.71,,82.69,79.01,82.29,94.4,,63.85,59.18,5.2,13.970999999999998,,4.613,34.7354,,,,,,5.78101,2.47342,0.82,0.9559479999999999,2.0,15.4191,,,,,3.81319,124.14399999999999,79.7452,,79.5,23.4792,278.496,72.77600000000001,3.7023800000000002,31.0031,71.26,,16.9992,37.0,0.9102399999999999,3.8913599999999997,0.959482,4.74066,,,,63.0,42.415000915527294,,3.03669,2.76418,2.73787,1.09,14.04,44,
TZA,37.6,22.1,0.5379999999999999,3.35,36.0,149.8,3080.0,7.0,3.8,96.0,3.5,32.0,8.0,2.6,89.8,18.5,4.0,4.0,-0.58,-0.6,-0.6,-0.45,-0.48,34.7,31.8,38.0,79.8,59.9,50.0,36.4,52.01,52.12,58.84,45.07,60.9,44.51,42.49,60.59,65.14,51.3,48.61,70.33,68.12,44.32,57.37,10.48,32.3,351.76199999999994,56.7,32.67,454.027,50.1453,34.8786,23.5341,15.6605,32.8,3.1400099999999997,133.89,7.01,0.69467,3.0,20.7059,77.8872,79.0448,31.6738,0.91533,2.67951,72.0579,13.0,0.59322,57.5,17.1741,464.519,49.068000000000005,2.29319,59.9356,54.03,640.971,16.9025,22.0,0.651369,3.3113099999999998,0.713359,3.22325,80.0,20.0,55.9,36.0,6.2576999664306605,4.9,3.01072,2.3118,3.10507,0.03,7.06,0,0.0
